gid,altura,lugares_disponibles,garage,st_asgeojson
87,1001,8,4,"{""type"":""LineString"",""coordinates"":[[-58.8382347999998,-27.4695978],[-58.8370373177151,-27.4697134653491]]}"
182,1600,,,"{""type"":""LineString"",""coordinates"":[[-58.8306586517548,-27.4703335486693],[-58.8295073899382,-27.4704343594581]]}"
183,1700,,,"{""type"":""LineString"",""coordinates"":[[-58.8293656729637,-27.470448951487],[-58.8281848082437,-27.4705600246943]]}"
187,,,,"{""type"":""LineString"",""coordinates"":[[-58.8429509597481,-27.4681874502682],[-58.8430327518294,-27.469164151853]]}"
190,,,,"{""type"":""LineString"",""coordinates"":[[-58.8430205357482,-27.4691748470478],[-58.8418768078596,-27.4692776243739]]}"
215,,,,"{""type"":""LineString"",""coordinates"":[[-58.8267968999998,-27.4707106],[-58.8256769999998,-27.4708165]]}"
218,,,,"{""type"":""LineString"",""coordinates"":[[-58.8280882999998,-27.4705654],[-58.8269376999998,-27.4706773]]}"
224,,,,"{""type"":""LineString"",""coordinates"":[[-58.8393289999998,-27.4684665],[-58.8393783999998,-27.4694569]]}"
214,,,,"{""type"":""LineString"",""coordinates"":[[-58.8269604999998,-27.470826],[-58.8270462999998,-27.4717874]]}"
216,,,,"{""type"":""LineString"",""coordinates"":[[-58.8255442999998,-27.4709617],[-58.8256622999998,-27.4719267]]}"
217,,,,"{""type"":""LineString"",""coordinates"":[[-58.8269336999998,-27.4719516],[-58.8258178999998,-27.4720671]]}"
219,,,,"{""type"":""LineString"",""coordinates"":[[-58.8282264999998,-27.4718196],[-58.8270797999998,-27.4719338]]}"
220,,,,"{""type"":""LineString"",""coordinates"":[[-58.8284517999998,-27.4740922],[-58.8285630999998,-27.4750643]]}"
221,,,,"{""type"":""LineString"",""coordinates"":[[-58.8299095999998,-27.4749513],[-58.8286864999998,-27.4750703]]}"
222,,,,"{""type"":""LineString"",""coordinates"":[[-58.8311781999998,-27.4748573],[-58.8300543999998,-27.4749525]]}"
223,,,,"{""type"":""LineString"",""coordinates"":[[-58.8298022999998,-27.4739697],[-58.8299001999998,-27.4749227]]}"
54,400,17,2,"{""type"":""LineString"",""coordinates"":[[-58.8349138644051,-27.4621731364193],[-58.8350115654231,-27.4631222862682]]}"
122,500,10,3,"{""type"":""LineString"",""coordinates"":[[-58.8339086415702,-27.4633400494673],[-58.8340173412464,-27.4643977494832]]}"
